Name,Age,Hometown,Occupation,Status,Season
Amanda Stanton,25,"Rancho Santa Margarita, California",Esthetician,Not eliminated,20
Caila Quinn,24,"Hudson, Ohio",Software Sales Representative,Not eliminated,20
Emily Fergusona,23,"Las Vegas, Nevada",Twin,Not eliminated,20
Jennifer Saviano,25,"Lauderdale Lakes, Florida",Small Business Owner,Not eliminated,20
"Joelle ""JoJo"" Fletcher",24,"Dallas, Texas",Real Estate Developer,Not eliminated,20
Lauren Bushnell,25,"West Linn, Oregon",Flight Attendant,Not eliminated,20
Lauren Himle,25,"Dexter, Michigan",Kindergarten Teacher,Not eliminated,20
Leah Block,25,"Aurora, Colorado",Event Planner,Not eliminated,20
Olivia Caridi,23,"Austin, Texas",Former News Anchor,Not eliminated,20
Jubilee Sharpe,24,"Fort Lauderdale, Florida",War Veteran,Eliminated in week 5,20
Rachel Tchen,23,"Little Rock, Arkansas",Unemployed,Eliminated in week 4,20
Haley Fergusona,23,"Las Vegas, Nevada",Twin,Eliminated in week 4,20
Jami Letain,23,"St. Albert, Alberta",Bartender,Eliminated in week 3,20
Shushanna Mkrtychyan,27,"Salt Lake City, Utah",Mathematician,Eliminated in week 3,20
Lace Morris,25,"Denver, Colorado",Real Estate Agent,Quit in week 3,20
"Amanda ""Mandi"" Kremer",28,"Portland, Oregon",Dentist,Eliminated in week 2,20
"Jacqueline ""Jackie"" Dion",23,"Newport Beach, California",Gerontologist,Eliminated in week 2,20
Samantha Passmore,26,"New Smyrna Beach, Florida",Attorney,Eliminated in week 2,20
"Lauren ""LB"" Barr",23,"Stillwater, Oklahoma",Fashion Buyer,Quit in week 2,20
Breanne Rice,30,"Seattle, Washington",Nutritional Therapist,Eliminated in week 1,20
"Isabel ""Izzy"" Goodkind",24,"Branford, Connecticut",Graphic Designer,Eliminated in week 1,20
Jessica Moser,23,"Boca Raton, Florida",Accountant,Eliminated in week 1,20
Laura Esselman,24,"Louisville, Kentucky",Account Executive,Eliminated in week 1,20
Lauren Russell,26,"Houston, Texas",Math Teacher,Eliminated in week 1,20
Maegan Miller,30,"Visalia, California",Cowgirl,Eliminated in week 1,20
Tiara Soleim,27,"Redmond, Washington",Chicken Enthusiast,Eliminated in week 1,20
Whitney Bischoff,29,"Louisville, Kentucky",Fertility Nurse,Winner,19
Becca Tilley,25,"Shreveport, Louisiana",Chiropractic Assistant,Runner-up,19.002
Kaitlyn Bristowe,29,"Leduc, Alberta",Dance Instructor,Eliminated in week 9,19.0111
Jade Roper,28,"Gering, Nebraska",Cosmetics Developer,Eliminated in week 8,19.1102
Carly Waddell,29,"Arlington, Texas",Cruise Ship Singer,Eliminated in week 7,19.1102
Britt Nilsson,27,"Hollywood, California",Waitress,Eliminated in week 7,19
Megan Bell,24,"Nashville, Tennessee",Make-Up Artist,Quit in week 6,19.1102
Kelsey Poe,28,"Hudsonville, Michigan",Guidance Counselor,Eliminated in week 6,19
Ashley Iaconetti,26,"Great Falls, Virginia",Nanny/Freelance Journalist,Eliminated in week 6,19.1102
Mackenzie Deonigi,21,"Maple Valley, Washington",Dental Assistant,Eliminated in week 5,19.1102
Samantha Steffen,27,"Indianapolis, Indiana",Fashion Designer,Eliminated in week 5,19.1102
Ashley Salter,24,"Brooklyn, New York",Hair Stylist,Eliminated in week 4,19.1102
Juelia Kinney,30,"Portland, Oregon",Esthetician,Eliminated in week 4,19.1102
Nikki Delventhal,26,"New York, New York",Former NFL Cheerleader,Eliminated in week 4,19
Jillian Anderson,25,"Howland, Ohio",News Producer,Eliminated in week 4,19.1102
